


Нагрузка
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet8/12 --> НТГ Красноармейская 38 П3 (подвал), АВ, SW073-AR127-32.ntg, Ethernet0/0/52
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/11 --> НТГ Строителей 17 П3 Э6 (чердак), АВ, SW011-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/16 --> НТГ Строителей 13 П2 Э6 (чердак), АВ, SW109-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/5 --> НТГ Строителей 6 П2 Э8 (чердак), АВ, SW121-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/44 --> НТГ Строителей 4 П3 Э6 (чердак), АВ, SW239-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/38 --> НТГ Горошникова 66 П2 (тех.этаж), АВ, SW078-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/5 --> НТГ Горошникова 66 П4 (тех.этаж), АВ, SW079-AR127-32.ntg, RMON:10/100 Port 24 on Unit 1
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/39 --> НТГ Горошникова 64 П1 Э14 (БВК), АВ, SW235-AR127-32.ntg, Ethernet1/26
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/12 --> НТГ Строителей 3 П3 Э6 (чердак), АВ, SW088-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/13 --> НТГ Горошникова 68 П3 Э6 (чердак), АВ, SW089-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/11 --> НТГ Строителей 1/А П1 Э8 (чердак), АВ, SW087-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/10 --> НТГ Строителей 1 П2 Э6 (чердак), АВ, SW086-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/14 --> НТГ Строителей 5 П3 Э6 (чердак), АВ, SW015-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/11 --> НТГ Строителей 2 П4 Э6 (чердак), АВ, SW040-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/9 --> НТГ Строителей 2 П7 Э6 (чердак), АВ, SW197-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/7 --> НТГ Ленина 59 П2 (чердак), АВ, SW154-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/23 --> НТГ Ленина 63 П3 Э6 (лестничная площадка), АВ, SW245-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/30 --> НТГ Ленина 61 П2 Э5 (чердак), АВ, SW220-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/14 --> НТГ Ленина 40 П7 Э6 (чердак), АВ, SW180-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet2/5 --> НТГ Ленина 40 П3 Э5 (чердак), АВ, SW022-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/14 --> НТГ Карла Маркса 52 П2 Э4 (чердак), АВ, SW085-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/9 --> НТГ Карла Маркса 50 П2 Э4 (чердак), АВ, SW099-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/3 --> НТГ Мира 21 П2 Э4 (чердак), АВ, SW191-AR127-32.ntg, Ethernet1/25
КК-П-КНТ-00202401, Etherline;Физический стык для получения сервисов от оператора; 1000 Мбит/c,  AR127-32.ntgGigabitEthernet11/33
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/5 --> НТГ Ленина 46 П3 Э5 (чердак), АВ, SW193-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/1 --> НТГ Ленина 42 П3 (чердак), АВ, SW002-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet2/2 --> НТГ Ленина 44 П3 Э5 (ЛК чердак), АВ, SW289-AR129-32.ntg, Ethernet1/0/28
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/5 --> НТГ Вязовская 4/А П3 Э5 (чердак), АВ, SW152-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/12 --> НТГ Карла Маркса 44 П2 Э5 (чердак), АВ, SW159-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/4 --> НТГ Карла Маркса 46 П2 Э4 (чердак), АВ, SW033-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/3 --> НТГ Вязовская 5 П2 Э5 (чердак), АВ, SW032-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/11 --> НТГ Вязовская 3 П2 Э6 (чердак), АВ, SW130-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet13/13 --> НТГ Ленина 38/А П1 Э13 (ТЭ), АВ, SW184-AR129-32.ntg, Ethernet1/25
